what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339249877178
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339249877245
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339249877305
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339249877350
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339249877465
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339249877488
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1339249877572
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1339249877655
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1339249877719
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1339249877777
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1339249877864
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1339249877917
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1339249878023
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1339249878092
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1339249878159
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1339249878433
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1339249878589
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1339249878705
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1339249878705
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1339249878763
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1339249878857
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1339249878917
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1339249878996
started,bundle,oracle.eclipse.tools.glassfish,4.2.1.201201241947,"oracle.eclipse.tools.glassfish",1339249879079
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339249879137
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1339249879167
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1339249879235
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1339249879237
started,bundle,org.maven.ide.eclipse.wtp,0.15.2.20120306-2040,"org.maven.ide.eclipse.wtp",1339249879271
started,bundle,org.maven.ide.eclipse.wtp.overlay,0.15.2.20120306-2040,"org.maven.ide.eclipse.wtp.overlay",1339249879335
started,bundle,org.jboss.tools.common,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common",1339249879363
started,bundle,org.jboss.tools.common.model,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.model",1339249879405
started,bundle,org.jboss.tools.common.model.ui,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.model.ui",1339249879474
started,bundle,org.jboss.tools.jst.web.ui,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.web.ui",1339249879503
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120423-2031-H861-Beta3,"org.jboss.ide.eclipse.archives.core",1339249879515
started,bundle,org.jboss.ide.eclipse.archives.ui,3.2.1.v20120423-2031-H861-Beta3,"org.jboss.ide.eclipse.archives.ui",1339249879527
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120423-2040-H1273-Beta3,"org.jboss.ide.eclipse.archives.webtools",1339249879542
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120423-2040-H1273-Beta3,"org.jboss.ide.eclipse.as.core",1339249879573
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120423-2040-H1273-Beta3,"org.jboss.ide.eclipse.as.ui",1339249879583
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120423-2040-H1273-Beta3,"org.jboss.ide.eclipse.as.ui.mbeans",1339249879626
